title	role	info	content
Beginnings of Movement	evaluator	setup	
Beginnings of Movement	evaluator	script	
Directions of Movement	instructor	setup	Station 4: Directions of Movement\n21.\tAdjusted Step Sizes\na.\t6-5\ni.\tThis step size is larger than 8-5\nii.\tThe full form from “Forward Marching” should be maintained despite the change in step size\n1.\tPay particular attention to players who may overstep early and correct by collapsing their step size in the end. Combat this by having players complete the exercise with their eyes closed.\nb.\t12-5\ni.\tThis step size is smaller than 8-5\nii.\tThe full form from “Forward Marching” should be maintained despite the change in step size\n1.\tPay particular attention to players who may fail to lift their foot off the ground and instead “shuffle” combat this by gradually shrinking the step size down to 12-5\n22.\tBackwards March\na.\tWe follow the “backwards glide step” form\ni.\tPlayers are always up on their platforms. This means the heels are off the ground slightly, with the full weight on the balls of the feet.\n1.\tThe heels should not be far off the ground, hovering just enough for clearance.\nii.\tFor each step, the player lifts the corresponding foot and pushes backwards. The heel does \tNOT touch the ground when the foot is replanted.\niii.\tStep size is specified. However, for exercises use 8-5.\nb.\tThe upper body remains in the attention position. Encourage proper form by reminding players to engage their core.\nc.\tNOTE: Most players will under-step the 8-5. Discourage this by having players push their feet back farther especially on count 1.\n23.\tTransitioning Between Forwards and Backwards\na.\tForwards to Backwards\ni.\t1 count move\nii.\tOn the final step of the forward march, players execute a normal roll step \niii.\tOn the and in-between the last forward step and first backwards step, players come up on the platforms\niv.\tThe left foot lifts slightly and is replanted on the first count of the backwards march\nv.\tNOTE: Balance is often an issue in this maneuver, remind players to engage their core.\nb.\tBackwards to Forward\ni.\t1 count move\nii.\tOn the final step of the backwards march, players execute a normal backwards step on their platforms\niii.\tOn the and in-between the last backward step and the first forward step, players come back down to their right heel.\niv.\tThe left foot lifts slightly and the heel is replanted on the first count of the backwards march.\nv.\tNOTE: Balance is often an issue in this maneuver, remind players to engage their core. \n
Directions of Movement	instructor	script	This is your station 4 evaluation. Please relax and listen to my instructions.\n\n(Give a moderate tempo, 120-130 BPM)\nPART 1\nBackwards march 8 cts at 8 to 5 \nForward march 8 cts at 8 to 5\nBackwards march 8 cts at 8 to 5\nForward march 8 cts at 8 to 5\nHalt\n\nPART 2\nForward march 8 cts at 8 to 5\nForward march 12cts at 12 to 5\nForward march 6cts at 6 to 5\nHalt\n
Directions of Movement	evaluator	setup	
Directions of Movement	evaluator	script	
Intermediate Marching Technique	instructor	setup	Station 5: Intermediate Marching Technique \n24.\tForward Left Slide\na.\tThe Forward Left Slide follows all the lower body form of the forward march command\nb.\tIn the Forward Left Slide, the feet move to the players left while the upper body remains facing forward.\nc.\tThis is accomplished through a rotation of the hips and shoulders. The shoulders remain perpendicular to front while the hips are at an approximate 45 degree angle to the front. This is essential to achieving full rotation! Work with the group on turning their hips AND shoulders to 45 degrees, then isolate the shoulder rotation continuing to 90 degrees as the hips stay at 45.\nd.\tOn the first step of a Forward Left Slide, the left foot kicks out to the players left.\n25.\tForward Right Slide\na.\tThe Forward Right Slide follows all the lower body form of the forward march command\nb.\tIn the Forward Right Slide, the feet move to the players right while the upper body remains facing forward.\nc.\tOn the first step of a Forward Left Slide, the left foot comes in front of the right and is planted to the right of the right foot.\n26.\tBackward Left Slide\na.\tThe Backward Left Slide follows all the lower body form of the backward march command\nb.\tIn the Backward Left Slide, the feet move to the players left while the upper body remains facing forward.\nc.\tOn the first step of a Backward Left Slide, the left foot kicks out to the players left and the platform is planted.\n27.\tBackward Right Slide\na.\tThe Backward Right Slide follows all the lower body form of the forward march command\nb.\tIn the Backward Right Slide, the feet move to the players right while the upper body remains facing forward.\n28.\tOn the first step of a Backward Right Slide, the left foot comes behind the right foot and the platform is planted to the right of the player’s right foot.\na.\tSlide Transitions For EVERY transition between forwards/backwards/slide marching, the right foot pivots on the and count of beat 8 in preparation for the next direction of travel, just like for flank maneuvers. Really emphasize the vocal “and” in time with the movement of the right heel\nb.\tThe left leg should never swing, it should meet the right heel on the “and” beat just like in a flank maneuver.\n\n \n
Intermediate Marching Technique	instructor	script	This is your station 5 evaluation. Please relax and listen to my instructions. All movements are at an 8 to 5 step size, horns go up the step-off (not mark time) and down on the halt.\n\n(Give a moderate tempo, 120-130 BPM)\nForwards 8, forward right slide 8, forward 8, forward left slide 8, halt. Repeat instructions again by default, repeat a second or third time if needed.\n\nBackward right slide 8, backward 8, backward left slide 8, backward 8, halt. Repeat instructions again by default, repeat a second or third time if needed.\n\nForward 8, backward right slide 8, backward 8, forward right slide 8, halt. Repeat instructions again by default, repeat a second or third time if needed.\n
Intermediate Marching Technique	evaluator	setup	
Intermediate Marching Technique	evaluator	script	
Advanced Marching Technique	instructor	setup	Station 6: Advanced Marching Technique\n\n29.\tHigh Step form\na.\tThe left heel, arch, and platform should come off the ground so that the toe is pointed to the ground, with the two halves of the leg forming a 135 degree angle\nb.\tThis angle between the thigh and calf is maintained as the toe is lifted, and the leg is raised so that the thigh is perpendicular to the player, flat and parallel to the ground\nc.\tThe toes should remain pointed throughout the entire movement, creating a straight line down from the knee\n30.\tCal Poly Attention\na.\tFour Count Move\ni.\t“Ten”\n1.\tThe left leg is raised in a Cal Poly High Step Form on the prep beat\nii.\t“Hut-1-2-3”\n1.\tThree Cal Poly High Step steps are taken in place with the last step replanting the feet in the attention position\n31.\tCal Poly Mark Time\na.\tHa. Good Luck.\n32.\tCal Poly High Step\na.\tJust Say goodbye to your legs.\n33.\tRun On\na.\tAKA Death.\n\n
Advanced Marching Technique	instructor	script	This is your station 6 evaluation. Please relax and listen to my instructions. \n\n(Give a moderate tempo, 120-130 BPM)\nCal Poly Attention\nCal Poly High High Step Mark Time 8cts at 8 to 5\nForwards March 8 cts at 8 to 5\nHalt\n(Run On Tempo is 200 BPM)\nRun On (Command is “UP”)\nRun on Mark Time for 8cts\nRun On Forward March for 32cts\nSing the Drum Cadence for the “Kick Down Up”
Advanced Marching Technique	evaluator	setup	
Advanced Marching Technique	evaluator	script	
